file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,pau,175.495,176.857,1.362,1200.470,45.919,
engl310_01_20min,cl,176.857,176.919,0.061,1200.470,65.666,
engl310_01_20min,pau,176.919,176.993,0.074,1200.470,46.877,
engl310_01_20min,in,176.993,177.412,0.420,1200.470,61.041,
engl310_01_20min,uh,177.412,177.732,0.320,1200.470,82.614,
engl310_01_20min,pau,177.732,178.033,0.301,1200.470,51.085,
engl310_01_20min,np,178.033,178.416,0.383,1200.470,80.141,
engl310_01_20min,uh,178.416,178.610,0.194,1200.470,83.644,
engl310_01_20min,pau,178.610,178.647,0.037,1200.470,65.879,
engl310_01_20min,np,178.647,179.871,1.225,1200.470,80.383,
engl310_01_20min,pau,179.871,180.008,0.137,1200.470,62.548,
engl310_01_20min,np,180.008,181.212,1.204,1200.470,76.255,
engl310_01_20min,pau,181.212,181.274,0.062,1200.470,59.140,
engl310_01_20min,np,181.274,182.211,0.937,1200.470,77.575,
engl310_01_20min,in,182.211,182.677,0.466,1200.470,63.400,
engl310_01_20min,uh,182.677,182.987,0.310,1200.470,82.548,
engl310_01_20min,np,182.987,183.362,0.376,1200.470,82.744,
engl310_01_20min,uh,183.362,183.661,0.299,1200.470,82.826,
engl310_01_20min,np,183.661,184.079,0.417,1200.470,75.151,
engl310_01_20min,pau,184.079,184.206,0.128,1200.470,51.120,
engl310_01_20min,np,184.206,185.091,0.884,1200.470,77.256,
engl310_01_20min,pau,185.091,185.164,0.073,1200.470,54.049,
engl310_01_20min,np,185.164,186.889,1.725,1200.470,77.577,
engl310_01_20min,pau,186.889,186.970,0.081,1200.470,54.797,
engl310_01_20min,in,186.970,187.367,0.396,1200.470,61.216,
engl310_01_20min,pau,187.367,187.511,0.144,1200.470,49.234,
engl310_01_20min,uh,187.511,187.786,0.276,1200.470,77.738,
engl310_01_20min,np,187.786,188.968,1.182,1200.470,79.630,
engl310_01_20min,uh,188.968,189.359,0.391,1200.470,79.528,
engl310_01_20min,pau,189.359,189.874,0.515,1200.470,48.585,
engl310_01_20min,np,189.874,190.149,0.274,1200.470,76.237,
engl310_01_20min,pau,190.149,190.260,0.112,1200.470,52.902,
engl310_01_20min,np,190.260,190.789,0.529,1200.470,76.513,
engl310_01_20min,np,190.789,190.845,0.056,1200.470,54.717,
engl310_01_20min,np,190.845,191.778,0.932,1200.470,81.945,
engl310_01_20min,pau,191.778,191.895,0.117,1200.470,47.867,
engl310_01_20min,np,191.895,192.417,0.522,1200.470,81.896,
engl310_01_20min,pau,192.417,192.624,0.207,1200.470,49.896,
engl310_01_20min,np,192.624,193.188,0.564,1200.470,80.689,
engl310_01_20min,pau,193.188,193.333,0.145,1200.470,48.715,
engl310_01_20min,in,193.333,193.817,0.483,1200.470,59.339,
engl310_01_20min,pau,193.817,193.913,0.096,1200.470,48.116,
engl310_01_20min,uh,193.913,194.141,0.228,1200.470,75.897,
engl310_01_20min,np,194.141,194.342,0.202,1200.470,68.238,
engl310_01_20min,pau,194.342,194.490,0.148,1200.470,43.577,
engl310_01_20min,np,194.490,196.334,1.844,1200.470,77.497,
engl310_01_20min,pau,196.334,196.483,0.149,1200.470,47.987,
engl310_01_20min,np,196.483,196.788,0.305,1200.470,81.534,
engl310_01_20min,pau,196.788,197.259,0.471,1200.470,51.724,
engl310_01_20min,np,197.259,199.733,2.474,1200.470,77.186,
engl310_01_20min,pau,199.733,199.795,0.062,1200.470,54.515,
engl310_01_20min,in,199.795,200.113,0.318,1200.470,57.317,
engl310_01_20min,pau,200.113,200.163,0.051,1200.470,52.762,
engl310_01_20min,uh,200.163,200.350,0.186,1200.470,76.663,
engl310_01_20min,np,200.350,201.816,1.467,1200.470,79.264,
engl310_01_20min,pau,201.816,201.950,0.134,1200.470,50.645,
engl310_01_20min,np,201.950,202.970,1.019,1200.470,79.643,
engl310_01_20min,pau,202.970,203.039,0.069,1200.470,53.892,
engl310_01_20min,in,203.039,203.339,0.300,1200.470,54.081,
engl310_01_20min,pau,203.339,203.428,0.090,1200.470,44.340,
engl310_01_20min,np,203.428,204.530,1.102,1200.470,79.965,
engl310_01_20min,pau,204.530,205.585,1.055,1200.470,48.764,
engl310_01_20min,cl,205.585,205.642,0.057,1200.470,66.044,
engl310_01_20min,pau,205.642,205.713,0.071,1200.470,45.906,
engl310_01_20min,uh,205.713,205.869,0.156,1200.470,76.394,
engl310_01_20min,np,205.869,209.409,3.540,1200.470,76.879,
engl310_01_20min,pau,209.409,209.477,0.068,1200.470,51.677,
engl310_01_20min,in,209.477,209.850,0.373,1200.470,58.941,
engl310_01_20min,pau,209.850,209.893,0.043,1200.470,48.872,
engl310_01_20min,np,209.893,210.894,1.001,1200.470,79.566,
engl310_01_20min,pau,210.894,211.000,0.106,1200.470,51.399,
engl310_01_20min,in,211.000,211.368,0.368,1200.470,57.394,
engl310_01_20min,uh,211.368,211.604,0.235,1200.470,76.077,
engl310_01_20min,np,211.604,212.432,0.828,1200.470,77.774,
engl310_01_20min,pau,212.432,212.476,0.044,1200.470,54.638,
engl310_01_20min,uh,212.476,212.657,0.181,1200.470,75.801,
engl310_01_20min,np,212.657,213.905,1.248,1200.470,74.220,
engl310_01_20min,ex,213.905,214.105,0.200,1200.470,62.207,
engl310_01_20min,pau,214.105,214.228,0.123,1200.470,46.923,
engl310_01_20min,uh,214.228,214.556,0.328,1200.470,72.979,
engl310_01_20min,other: glottal activity,214.556,214.785,0.228,1200.470,58.697,
engl310_01_20min,pau,214.785,214.882,0.097,1200.470,43.059,
engl310_01_20min,np,214.882,215.718,0.836,1200.470,75.893,
engl310_01_20min,pau,215.718,215.851,0.133,1200.470,44.814,
engl310_01_20min,in,215.851,216.253,0.403,1200.470,56.965,
engl310_01_20min,pau,216.253,216.314,0.060,1200.470,47.076,
