"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)"
"Track15_noNarrator","in",157.642,158.081,0.439,358.182,46.997,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",158.081,158.112,0.031,358.182,38.394,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",158.112,160.674,2.562,358.182,79.428,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",160.674,161.059,0.386,358.182,41.852,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",161.059,161.289,0.23,358.182,40.253,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",161.289,161.722,0.432,358.182,78.651,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","uh",161.722,161.97,0.248,358.182,79.218,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",161.97,164.936,2.967,358.182,78.41,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",164.936,164.959,0.023,358.182,34.289,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",164.959,165.242,0.284,358.182,41.085,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","sil",165.242,165.28,0.037,358.182,31.494,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","np",165.28,167.164,1.884,358.182,80.338,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
"Track15_noNarrator","in",167.164,167.619,0.455,358.182,41.565,1098,88,358.18,300.51,3.07,3.65,0.274,126,31.006
